YYDDD;Month;Day ;Time (UT);SALU MLT;max dB/dt;SME;SYM/H;
17115;Apr;25;0:32;20;6,9;450;-23;
;;;;;;;;
17122;May;2;4:26;23,9;6,1;244;-2;
;;;;;;;;
17133;May;13;4:14;23,6;10,6;312;4;
;;;;;;;;
17137;May;17;3:30;22,9;6,7;223;3;
;;;;;;;;
17138;May;18;1:10;20,6;14,9;602;0;
;;;;;;;;
17140;May;20;3:46;23,2;9,6;578;-9;
;;;;;;;;
17148;May;28;3:58;23,4;6,2;1741;-98;
;;;;;;;;
17148;May;28;8:11;3,5;6,5;193;-12;
;;;;;;;;
17148;May;28;11:22;6,8;6,2;912;-81;
;;;;;;;;
17167;Jun;16;22:32;18,1;10,4;1255;-25;
;;;;;;;;
17170;Jun;19;3:59;23,4;6,5;480;-14;
;;;;;;;;
17183;Jul;2;6:11;1,4;7,8;1036;-10;
;;;;;;;;
17191;Jul;10;3:23;22,8;6,2;680;-36;
;;;;;;;;
17198;Jul;17;3:18;22,7;10,4;1255;-41;
;;;;;;;;
17198;Jul;17;9:45;5,2;21,2;1081;-45;
;;;;;;;;
17199;Jul;18;1:46;21,15;7,6;571;-28;
;;;;;;;;
17206;Jul;25;0:19;19,8;8,8;388;-20;
;;;;;;;;
17206;Jul;25;0:36;20,1;8,4;232;-15;
;;;;;;;;
17206;Jul;25;1:19;20,7;8,6;201;-14;
;;;;;;;;
17207;Jul ;26;0:13;19,7;8;574;-19;
;;;;;;;;
17207;Jul;26;2:44;22,1;9,3;324;-11;
;;;;;;;;
17217;Aug;5;1:55;21,3;7,1;428;-13;
;;;;;;;;
17226;Aug;14;0:57;20,4;7,4;364;-6;
;;;;;;;;
17230;Aug;18;1:55;21,3;13,4;1071;-22;
;;;;;;;;
17231;Aug;19;1:13;20,7;19;971;-27;
;;;;;;;;
17231;Aug;19;6:09;1,4;7,6;993;-14;
;;;;;;;;
17231;Aug;19;8:38;3,9;7,1;1126;-39;
;;;;;;;;
17231;Aug;19;10:25;5,8;6,5;313;-17;
;;;;;;;;
17232;Aug;20;2:02;21,4;9,4;960;-19;
;;;;;;;;
17232;Aug;20;2:33;21,9;12;833;-18;
;;;;;;;;
17232;Aug;20;3:34;22,8;9,3;1249;-45;
;;;;;;;;
17233;Aug;21;1:23;20,9;6,5;447;-21;
;;;;;;;;
17233;Aug;21;2:29;21,9;11,4;289;-13;
;;;;;;;;
17234;Aug;22;0:48;20,3;15,7;974;-14;
;;;;;;;;
17234;Aug;22;2:36;22;6,8;947;-37;
;;;;;;;;
17235;Aug;23;3:16;22,6;14;744;-22;
;;;;;;;;
17235;Aug;23;3:33;22,8;9,3;525;-20;
;;;;;;;;
17236;Aug;24;2:11;21,6;8,7;574;-29;
;;;;;;;;
17236;Aug;24;2:56;22,3;8,1;455;-20;
;;;;;;;;
17239;Aug;27;2:11;21,6;7,2;375;-11;
;;;;;;;;
17245;Sep;2;2:22;21,9;7,6;676;-12;
;;;;;;;;
17245;Sep;2;2:42;22,3;15,8;643;-15;
;;;;;;;;
17246;Sep;3;2:58;23,6;13,8;438;8;
;;;;;;;;
17247;Sep;4;0:35;20,1;18,1;755;-2;
;;;;;;;;
17247;Sep;4;3:07;22,7;12,5;486;-4;
;;;;;;;;
17248;Sep;5;3:19;22,9;9,1;437;-9;
;;;;;;;;
17250;Sep;7;23:27;19;8;2600;-55;
;;;;;;;;
17251;Sep;8;22:46;18,3;22,2;698;-90;
;;;;;;;;
17254;Sep;11;2:03;21,6;6,3;380;-19;
;;;;;;;;
17254;Sep;11;2:22;21,9;6,4;527;-16;
;;;;;;;;
17254;Sep;11;2:43;22,3;7,5;417;-16;
;;;;;;;;
17258;Sep;15;0:33;20,1;36,6;1478;-39;
;;;;;;;;
17258;Sep;15;2:57;22,5;8,3;570;-20;
;;;;;;;;
17258;Sep;15;3:35;23,2;10;426;-25;
;;;;;;;;
17258;Sep;15;23:18;17,9;13,4;1148;-19;
;;;;;;;;
17259;Sep;16;2:27;22;9,3;1265;-21;
;;;;;;;;
17259;Sep;16;5:34;1,2;8,3;960;-30;
;;;;;;;;
17259;Sep;16;23:48;19,35;6,9;504;-18;
;;;;;;;;
17260;Sep;17;3:35;23,2;6,2;425;-10;
;;;;;;;;
17260;Sep;17;3:51;23,5;8,1;490;-11;
;;;;;; ;;
17261;Sep;18;1:59;21,6;9,5;635;-12;
;;;;;;;;
17261;Sep;18;2:19;21,9;6,3;835;-18;
;;;;;;;;
17261;Sep;18;2:35;22,2;6,5;1010;-24;
;;;;;;;;
17263;Sep;20;0:01;19,6;11,1;508;-13;
;;;;;;;;
17263;Sep;20;3:15;22,9;8,6;284;-20;
;;;;;;;;
17271;Sep;28;7:57;3,7;9,8;2235;-51;
;;;;;;;;
17271;Sep;28;9:33;5,2;8;789;-62;
;;;;;;;;
17271;Sep;28;23:01;18,6;13,3;952;-42;
;;;;;;;;
17272;Sep;29;2:12;21,8;8,8;225;-24;
;;;;;;;;
17272;Sep;29;2:39;22,2;9,8;216;-24;
;;;;;;;;
17272;Sep;29;3:00;22,6;15,3;352;-22;
;;;;;;;;
17273;Sep;30;3:24;23;6,3;238;-8;
;;;;;;;;
17273;Sep;30;4:14;23,9;6,1;469;-8;
;;;;;;;;
17273;Sep;30;6:08;1,8;8,6;623;-22;
;;;;;;;;
17275;Oct;2;3:17;22,9;13,9;466;-24;
;;;;;;;;
17275;Oct;2;3:58;23,6;16,1;539;-27;
;;;;;;;;
17277;Oct ;4;3:29;23,1;6,4;414;-12;
;;;;;;;;
17284;Oct;11;1:20;20,9;6,6;351;-14;
;;;;;;;;
17284;Oct;11;8:51;4,5;9,5;909;-17;
;;;;;;;;
17285;Oct;12;0:14;19,8;12,8;1116;-37;
;;;;;;;;
17292;Oct;19;5:33;1,2;6;471;-13;
;;;;;;;;
17293;Oct;20;2:43;22,3;6,1;191;-14;
;;;;;;;;
17298;Oct;25;8:58;4,6;7,1;575;-18;
;;;;;;;;
17299;Oct;26;0:06;19,7;11,3;476;-15;
;;;;;;;;
17299;Oct;26;0:32;20,1;6,7;354;-11;
;;;;;;;;
17306;Nov;2;1:18;20,9;11,8;391;-3;
;;;;;;;;
17306;Nov;2;1:31;21,1;9,9;309;-5;
;;;;;;;;
17306;Nov;2;1:39;21,2;6,2;249;-5;
;;;;;;;;
17311;Nov;7;23:11;18,7;17,2;1120;-70;
;;;;;;;;
17313;Nov;9;0:52;20,4;11,3;353;-41;
;;;;;;;;
17313;Nov;9;5:23;1,1;8,3;448;-47;
;;;;;;;;
17314;Nov;10;2:40;22,3;11,6;487;-31;
;;;;;;;;
17315;Nov;11;1:57;21,5;6;421;26;
;;;;;;;;
17318;Nov;14;2:10;21,7;8,3;401;-12;
;;;;;;;;
17320;Nov;16;2:22;21,9;7,6;599;-22;
;;;;;;;;
17326;Nov;22;1:30;21;6,1;188;-19;
;;;;;;;;
17326;Nov;22;1:41;21,2;10,1;444;-16;
;;;;;;;;
17326;Nov;22;2:16;21,3;6,5;376;-15;
;;;;;;;;
17329;Nov;25;4:20;0;6,4;210;-19;
;;;;;;;;
17339;Dec;5;2:38;21,9;6,1;531;-38;
;;;;;;;;
17339;Dec;5;10:16;5,9;6,9;1268;-28;
;;;;;;;;
